% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2025, 10:43
% Dimension:          2
% Nodes:              100000
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  H (m)                    nu (Pa*s)
100                       100                      2.7658607765114316E-7    -2.3515073284843427E-9   376.3568867542062        1.6678400085725945E13
300                       100                      2.8926715268104026E-7    -1.8605529201472565E-9   369.5930709786163        1.66992350639717E13
500                       100                      2.9609880085878135E-7    -1.4735782231808698E-9   367.94342070773166       1.6720070042217453E13
700.0000000000001         100                      3.0235814179779846E-7    -1.6177695114792322E-9   366.18441225016437       1.6740905020463205E13
900                       100                      3.0848557631481766E-7    -1.9311918039515596E-9   364.69206885554104       1.676173999870896E13
1100                      100                      3.147819760663511E-7     -2.136768186913113E-9    363.66496480081514       1.6782574976954713E13
1300                      100                      3.214505906513429E-7     -2.4187019248541947E-9   362.64082890627867       1.6803409955200465E13
1500                      100                      3.2850373396440715E-7    -2.6815974977103222E-9   361.73852155895895       1.6824244933446219E13
1700.0000000000002        100                      3.36004467258239E-7      -2.9439713174346795E-9   361.02504886285124       1.6845079911691977E13
1900                      100                      3.439775835470161E-7     -3.2204279386776572E-9   360.19273332715795       1.686591488993773E13
2100                      100                      3.5243745965718686E-7    -3.49023478212005E-9     359.51351863534796       1.6886749868183484E13
2300                      100                      3.614011245218093E-7     -3.760140675007394E-9    358.8762699115707        1.6907584846429236E13
2500                      100                      3.7087292187062646E-7    -4.034854175737057E-9    358.18595327020716       1.6928419824674988E13
2700                      100                      3.80863323309474E-7      -4.301645455009901E-9    357.65890357115757       1.6949254802920744E13
2900                      100                      3.9137491740009563E-7    -4.576318358007954E-9    356.99498973458265       1.6970089781166496E13
3100                      100                      4.0241189622831875E-7    -4.8468218973153214E-9   356.4224947813503        1.699092475941225E13
3300                      100                      4.139774614562297E-7     -5.113508318233725E-9    355.9091293961846        1.7011759737658004E13
3500                      100                      4.260727877222397E-7     -5.387934356342532E-9    355.27803782797247       1.703259471590376E13
3700                      100                      4.387005078838899E-7     -5.651436040742833E-9    354.81160795672076       1.7053429694149516E13
3900                      100                      4.5186111707973995E-7    -5.92384490689174E-9     354.2011169970482        1.7074264672395268E13
4100                      100                      4.6555583929252843E-7    -6.191773053405773E-9    353.6602618561769        1.709509965064102E13
4300                      100                      4.797856119762008E-7     -6.454064296215851E-9    353.1863994164389        1.7115934628886775E13
4500                      100                      4.945509040674723E-7     -6.72679375274013E-9     352.56264621462196       1.7136769607132527E13
4700                      100                      5.098523598918309E-7     -6.98566275524959E-9     352.1160088433318        1.7157604585378281E13
4900                      100                      5.256901182398231E-7     -7.25588999327441E-9     351.51444379502215       1.7178439563624033E13
5100                      100                      5.420649760075235E-7     -7.520289639049162E-9    350.9792340083968        1.7199274541869791E13
5300                      100                      5.589768177620789E-7     -7.777955331767952E-9    350.509290316774         1.7220109520115543E13
5500                      100                      5.764263833290092E-7     -8.048625965232924E-9    349.88062552994865       1.7240944498361299E13
5699.999999999999         100                      5.944131912314765E-7     -8.302801457133831E-9    349.4299340316246        1.726177947660705E13
5900                      100                      6.129383211944893E-7     -8.570180232855574E-9    348.8191912113463        1.7282614454852805E13
6100                      100                      6.32001372667712E-7      -8.831117515758377E-9    348.2723088448017        1.7303449433098559E13
6300                      100                      6.516024867007779E-7     -9.083911574786859E-9    347.79401333706863       1.7324284411344312E13
6500                      100                      6.71742569078634E-7      -9.352670698586107E-9    347.148813186347         1.7345119389590064E13
6700                      100                      6.9242053882776E-7       -9.601745322123014E-9    346.6878230873049        1.7365954367835822E13
6899.999999999999         100                      7.136382054265938E-7     -9.866383977914738E-9    346.0607372659073        1.7386789346081574E13
7100                      100                      7.353945132898533E-7     -1.0123646487974443E-8   345.49926145235787       1.740762432432733E13
7300                      100                      7.576896418287827E-7     -1.0372119029079025E-8   345.00497637744013       1.7428459302573082E13
7500                      100                      7.805251482026958E-7     -1.06380173930472E-8     344.34236587436493       1.7449294280818836E13
7700                      100                      8.038991096216888E-7     -1.0882002315597081E-8   343.8663075526309        1.747012925906459E13
7900                      100                      8.278138050928126E-7     -1.1144327748496248E-8   343.2194703174021        1.7490964237310344E13
8100.000000000001         100                      8.522682360977555E-7     -1.1397711611228316E-8   342.64139663721903       1.7511799215556096E13
8300                      100                      8.772623591394717E-7     -1.1641461880078376E-8   342.1304046652465        1.7532634193801848E13
8500                      100                      9.027982233778025E-7     -1.190493233459084E-8    341.4492711692146        1.7553469172047605E13
8700                      100                      9.288732253206086E-7     -1.2143852852725775E-8   340.9567571741271        1.757430415029336E13
8900                      100                      9.554904568676028E-7     -1.2403450113931971E-8   340.29155087877575       1.7595139128539113E13
9100                      100                      9.826483962059E-7        -1.2653076424968321E-8   339.6961271615213        1.7615974106784867E13
9300                      100                      1.0103470533569873E-6    -1.2892119116592626E-8   339.1683549954352        1.7636809085030617E13
9500                      100                      1.03858899882614E-6      -1.315311926364661E-8    338.4696603555056        1.7657644063276375E13
9700                      100                      1.0673709053459776E-6    -1.3386974267233526E-8   337.960888249302         1.7678479041522125E13
9900                      100                      1.0966966777195656E-6    -1.3643806695407335E-8   337.2786267074349        1.7699314019767883E13
